Šalies id,Šalis,Portalo ID,Naujienų portalas,Kalba,Skenavimo laikas,Kategorija,Tekstas,Nuoroda
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,"JAE išliks patikimi energijos išteklių tiekėjai, sako prezidentas",https://www.15min.lt/verslas/naujiena/energetika/jae-isliks-patikimi-energijos-istekliu-tiekejai-sako-prezidentas-664-1902372
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,G.Landsbergis dalyvauja konferencijoje dėl Rusijos atsakomybės už karo nusikaltimus,https://www.15min.lt/naujiena/aktualu/lietuva/g-landsbergis-dalyvauja-konferencijoje-del-rusijos-atsakomybes-uz-karo-nusikaltimus-56-1902370
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,Seimo komitetas aptars Lietuvos oro gynybos klausimus,https://www.15min.lt/naujiena/aktualu/lietuva/seimo-komitetas-aptars-lietuvos-oro-gynybos-klausimus-56-1902364
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,Į Kėdainius grįžta Agurkų šventė: kas laukia įdomaus,https://www.15min.lt/pasaulis-kiseneje/naujiena/per-lietuva/i-kedainius-grizta-agurku-svente-kas-laukia-idomaus-642-1902352
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,Rusijoje pradėta savanorių mobilizacija,https://www.15min.lt/naujiena/aktualu/lietuva/rusijoje-pradeta-savanoriu-mobilizacija-56-1902362
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,Pergalingą įvartį „Žalgiriui“ įmušęs M.Oyewusi: „Nuostabus jausmas“,https://www.15min.lt/sportas/naujiena/futbolas/pergalinga-ivarti-zalgiriui-imuses-m-oyewusi-nusotabus-jausmas-24-1902346
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,Pabėgęs Šri Lankos prezidentas susidūrė su protestuotojais Maldyvuose,https://www.15min.lt/naujiena/aktualu/pasaulis/pabeges-sri-lankos-prezidentas-susidure-su-protestuotojais-maldyvuose-57-1902340
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,J.Bidenas per vizitą Viduriniuose Rytuose ribos kontaktus dėl COVID-19 rizikos,https://www.15min.lt/naujiena/aktualu/pasaulis/j-bidenas-per-vizita-viduriniuose-rytuose-ribos-kontaktus-del-covid-19-rizikos-57-1902334
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,Prie Graikijos krantų nukrito priešgaisrinis sraigtasparnis,https://www.15min.lt/naujiena/aktualu/pasaulis/prie-graikijos-krantu-nukrito-priesgaisrinis-sraigtasparnis-57-1902338
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-14 07:25:00,Start page,Tanzanijoje tiriami mįslingos ligos atvejai,https://www.15min.lt/naujiena/aktualu/pasaulis/tanzanijoje-tiriami-mislingos-ligos-atvejai-57-1902332
