Šalies id,Šalis,Portalo ID,Naujienų portalas,Kalba,Skenavimo laikas,Kategorija,Tekstas,Nuoroda
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,Pasaulio vicečempioną supa kitokio krepšinio nuotaika: „Atsigavo kūnas ir mintys“,https://www.15min.lt/24sek/naujiena/lietuva/pasaulio-vicecempiona-supa-kitokio-krepsinio-nuotaika-atsigavo-kunas-ir-mintys-875-1743732
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,Vos diskvalifikacija nesibaigusiame N.Kyrgioso ir S.Tsitsipo mače – australo triumfas,https://www.15min.lt/deuce/naujiena/profesionalus-sportas/naujienos/vos-diskvalifikacija-nesibaigusiame-n-kyrgioso-ir-s-tsitsipo-mace-australo-triumfas-338-1744758
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,"JAV ir Lietuva bendradarbiaus maisto saugos, ekologinio ūkininkavimo srityje",https://www.15min.lt/verslas/naujiena/zemes-ukis/jav-ir-lietuva-bendradarbiaus-maisto-saugos-ekologinio-ukininkavimo-srityje-313-1744822
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,Vokietija pasirašė susitarimą dėl Benino bronzos dirbinių grąžinimo Nigerijai,https://www.15min.lt/naujiena/aktualu/pasaulis/vokietija-pasirase-susitarima-del-benino-bronzos-dirbiniu-grazinimo-nigerijai-57-1744820
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,Išvadas po pirmų dviejų mačų padaręs R.Nadalis įskriejo į Vimbldono aštuntfinalį,https://www.15min.lt/deuce/naujiena/profesionalus-sportas/naujienos/isvadas-po-pirmu-dvieju-macu-padares-r-nadalis-iskriejo-i-vimbldono-astuntfinali-338-1744756
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,Drama Vilniuje: „Kauno Žalgiris“ per pridėtą laiką išplėšė tašką,https://www.15min.lt/sportas/naujiena/futbolas/drama-vilniuje-kauno-zalgiris-per-prideta-laika-isplese-taska-24-1744800
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,"A.Lukašenka kaltina Ukrainą paleidus į Baltarusiją raketas, kurios neva buvo numuštos",https://www.15min.lt/naujiena/aktualu/pasaulis/a-lukasenka-kaltina-ukraina-paleidus-i-baltarusija-raketas-kurios-neva-buvo-numustos-57-1744812
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,C.Ronaldo pareiškimas „Man United“ vadovams: jis nori išvykti,https://www.15min.lt/sportas/naujiena/futbolas/c-ronaldo-pareiskimas-man-united-vadovams-jis-nori-isvykti-24-1744808
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,Justas Simaška po pirmos ERC „Rally Liepaja“ dienos – klasės greičiausiųjų trejetuke,https://www.15min.lt/gazas/naujiena/autosportas/justas-simaska-po-pirmos-erc-rally-liepaja-dienos-klases-greiciausiuju-trejetuke-25-1744802
CR002,Lithuania,NP_002,15min.lt,lt,2022-07-03 08:21:00,Start page,Prezidentas pakvietė JAV energetikos įmonę „Holtec“ investuoti Lietuvoje,https://www.15min.lt/verslas/naujiena/bendroves/prezidentas-pakviete-jav-energetikos-imone-holtec-investuoti-lietuvoje-663-1744790
