Šalies id,Šalis,Portalo ID,Naujienų portalas,Kalba,Skenavimo laikas,Kategorija,Tekstas,Nuoroda
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Verslas,Prastėjanti situacija rinkoje kaitina žaliavų tiekėjų sandėlius: stebimas pasikeitęs elgesys,https://www.delfi.lt/verslas/verslas/prastejanti-situacija-rinkoje-kaitina-zaliavu-tiekeju-sandelius-stebimas-pasikeites-elgesys.d?id=90627003
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Teisė,"Kruvina drama Vilniuje: du nužudyti, trečiam – perpjauta gerklė",https://www.delfi.lt/news/daily/law/kruvina-drama-vilniuje-du-nuzudyti-treciam-perpjauta-gerkle.d?id=90455257
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Orai: karščio bangai pasitraukus šiluma nedings – termometrų stulpeliai kils iki 28 laipsnių,https://www.delfi.lt/news/daily/lithuania/orai-karscio-bangai-pasitraukus-siluma-nedings-termometru-stulpeliai-kils-iki-28-laipsniu.d?id=90645775
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Sveikata,"Aukštą blogąjį cholesterolį galima pastebėti, pažvelgus į akis: profesorius patarė, į ką atkreipti dėmesį",https://www.delfi.lt/sveikata/iveik-liga/auksta-blogaji-cholesteroli-galima-pastebeti-pazvelgus-i-akis-profesorius-patare-i-ka-atkreipti-demesi.d?id=90642927
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Mokslas,600 metrų gylyje po Arkties ledo sluoksniu – mokslininkus pribloškęs radinys: tokių reiškinių čia aptikti nesitikėjo niekas,https://www.delfi.lt/mokslas/mokslas/600-metru-gylyje-po-arkties-ledo-sluoksniu-mokslininkus-pribloskes-radinys-tokiu-reiskiniu-cia-aptikti-nesitikejo-niekas.d?id=90645277
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Užsienyje,Lukašenka ėmėsi karo provokacijų: apkaltino Ukrainą paleidus į Baltarusiją raketas,https://www.delfi.lt/news/daily/world/lukasenka-emesi-karo-provokaciju-apkaltino-ukraina-paleidus-i-baltarusija-raketas.d?id=90645457
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Užsienyje,70 metų neregėtą sausrą kenčianti Italija griebiasi drastiško vandens taupymo: viename mieste net uždraudė plauti automobilius,https://www.delfi.lt/news/daily/world/70-metu-neregeta-sausra-kencianti-italija-griebiasi-drastisko-vandens-taupymo-viename-mieste-net-uzdraude-plauti-automobilius.d?id=90645697
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Užsienyje,Karas Ukrainoje. Ukraina: turime informacijos apie galutinį Baltarusijos įtraukimą į karą,https://www.delfi.lt/news/daily/world/karas-ukrainoje-ukraina-turime-informacijos-apie-galutini-baltarusijos-itraukima-i-kara.d?id=90643133
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Gyvenimas,"Gyvenimas auksiniame narvelyje: 8 dalykai, kurių nevalia daryti Kate Middleton – reputacija brangiai atsieina",https://www.delfi.lt/gyvenimas/istorijos/gyvenimas-auksiniame-narvelyje-8-dalykai-kuriu-nevalia-daryti-kate-middleton-reputacija-brangiai-atsieina.d?id=89861167
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Užsienyje,Tragedija Indijoje: purvo nuošliauža savo kelyje pasiglemžė viską – dešimtys žmonių palaidoti po žeme,https://www.delfi.lt/news/daily/world/tragedija-indijoje-purvo-nuosliauza-savo-kelyje-pasiglemze-viska-desimtys-zmoniu-palaidoti-po-zeme.d?id=90645545
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Vasara,"Švenčių planuotojos – apie vaiko krikštynas: kokia apranga netinka, kada įteikti kvietimą ir kiek praverti pinigines",https://www.delfi.lt/vasara/naujienos/svenciu-planuotojos-apie-vaiko-krikstynas-kokia-apranga-netinka-kada-iteikti-kvietima-ir-kiek-praverti-pinigines.d?id=90589669
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Verslas,"Bene vienintelis alpakų kirpėjas Lietuvoje: apkerpa tūkstančius alpakų, savaitėmis negrįžta namo",https://www.delfi.lt/verslas/verslas/bene-vienintelis-alpaku-kirpejas-lietuvoje-apkerpa-tukstancius-alpaku-savaitemis-negrizta-namo.d?id=90627005
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Veidai,Erotikos pliūpsnis: atlikėja Tove Lo Lenkijoje nepaliko vietos vaizduotei – apnuogino krūtis ir nukėlė į striptizą,https://www.delfi.lt/veidai/festivalizuokis/erotikos-pliupsnis-atlikeja-tove-lo-lenkijoje-nepaliko-vietos-vaizduotei-apnuogino-krutis-ir-nukele-i-striptiza.d?id=90639189
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Veidai,"Festivalyje Lenkijoje kilo milžiniška audra: prašė nepanikuoti, evakuoti tūkstančiai žmonių, tarp jų – begalė lietuvių",https://www.delfi.lt/veidai/festivalizuokis/festivalyje-lenkijoje-kilo-milziniska-audra-prase-nepanikuoti-evakuoti-tukstanciai-zmoniu-tarp-ju-begale-lietuviu.d?id=90642339
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Užsienyje,Rusijos karinėje vadovybėje – drastiški pokyčiai: prabilo apie didžiausią problemą,https://www.delfi.lt/news/daily/world/rusijos-karineje-vadovybeje-drastiski-pokyciai-prabilo-apie-didziausia-problema.d?id=90624819
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Vasara,Šaltasis frontas išstums tropinį orą iš Lietuvos: liūčių išvengs tik viena Lietuvos dalis,https://www.delfi.lt/news/daily/lithuania/saltasis-frontas-isstums-tropini-ora-is-lietuvos-liuciu-isvengs-tik-viena-lietuvos-dalis.d?id=90642747
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Teisė,"Kruvina drama Vilniuje: du nužudyti, trečiam – perpjauta gerklė",https://www.delfi.lt/news/daily/lithuania/kruvina-drama-vilniuje-du-nuzudyti-treciam-perpjauta-gerkle.d?id=90455257
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Teisė,"Teisėja pataria, ką daryti oro linijoms atšaukus ar atidėjus skrydį",https://www.delfi.lt/news/daily/law/teiseja-pataria-ka-daryti-oro-linijoms-atsaukus-ar-atidejus-skrydi.d?id=90629851
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Landsbergis – apie jam suteiktą statusą: Lietuva galų gale susitvarkė,https://www.delfi.lt/news/daily/lithuania/landsbergis-apie-jam-suteikta-statusa-lietuva-galu-gale-susitvarke.d?id=90633957
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Orai: karščio bangai pasitraukus šiluma nedings – termometrų stulpeliai kils iki 28 laipsnių,https://www.delfi.lt/news/daily/lithuania/orai-karscio-bangai-pasitraukus-siluma-nedings-termometru-stulpeliai-kils-iki-28-laipsniu.d?id=90645775
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Teisė,"Kruvina drama Vilniuje: du nužudyti, trečiam – perpjauta gerklė",https://www.delfi.lt/news/daily/law/kruvina-drama-vilniuje-du-nuzudyti-treciam-perpjauta-gerkle.d?id=90455257
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Valdantieji atsikirto į opozicijos grasinimus atšaukti valstybės vadovo statusą Vytautui Landsbergiui: tai kvailystė,https://www.delfi.lt/news/daily/lithuania/valdantieji-atsikirto-i-opozicijos-grasinimus-atsaukti-valstybes-vadovo-statusa-vytautui-landsbergiui-tai-kvailyste.d?id=90645017
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Nesutaria dėl Kaliningrado tranzito krizės: valdančiųjų stovykloje požiūriai išsiskyrė – nuskambėjo raginimai prezidentui,https://www.delfi.lt/news/daily/lithuania/nesutaria-del-kaliningrado-tranzito-krizes-valdanciuju-stovykloje-poziuriai-issiskyre-nuskambejo-raginimai-prezidentui.d?id=90644911
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,"Nausėda suteikė karininko laipsnius akademijos absolventams, paaukštino du pulkininkus",https://www.delfi.lt/news/daily/lithuania/nauseda-suteike-karininko-laipsnius-akademijos-absolventams-paaukstino-du-pulkininkus.d?id=90644751
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Lietuvos žaliųjų partija dalyvaus savivaldos rinkimuose,https://www.delfi.lt/news/daily/lithuania/lietuvos-zaliuju-partija-dalyvaus-savivaldos-rinkimuose.d?id=90644281
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Prezidentas ir premjerė pasveikino aktorių Paukštę 90-mečio proga,https://www.delfi.lt/news/daily/lithuania/prezidentas-ir-premjere-pasveikino-aktoriu-paukste-90-mecio-proga.d?id=90643661
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,"Krašto apsaugos ministerija pasirūpino, kad patarimai apie pasiruošimą ekstremalioms situacijoms būtų paskelbti ir Brailio raštu",https://www.delfi.lt/news/daily/lithuania/krasto-apsaugos-ministerija-pasirupino-kad-patarimai-apie-pasiruosima-ekstremalioms-situacijoms-butu-paskelbti-ir-brailio-rastu.d?id=90643655
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Taivano užsienio reikalų ministras: jaučiame stiprėjančią Kinijos agresiją,https://www.delfi.lt/news/daily/lithuania/taivano-uzsienio-reikalu-ministras-jauciame-stiprejancia-kinijos-agresija.d?id=90625271
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,"COVID-19 infekcija: praėjusią parą nustatyti 477 nauji susirgimai, mirė vienas žmogus",https://www.delfi.lt/news/daily/lithuania/covid-19-infekcija-praejusia-para-nustatyti-477-nauji-susirgimai-mire-vienas-zmogus.d?id=90643445
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Po vidurvasario šventės Vilniuje šienaujamos nužydėjusios pievos,https://www.delfi.lt/news/daily/lithuania/po-vidurvasario-sventes-vilniuje-sienaujamos-nuzydejusios-pievos.d?id=90643307
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Lietuvos ir Baltarusijos pasienyje apgręžta 11 neteisėtų migrantų,https://www.delfi.lt/news/daily/lithuania/lietuvos-ir-baltarusijos-pasienyje-apgrezta-11-neteisetu-migrantu.d?id=90643287
CR001,Lithuania,NP_001,Delfi.lt,lt,2022-07-03 08:07:00,Lietuvoje,Nausėda vyks darbo vizito į JAV,https://www.delfi.lt/news/daily/lithuania/nauseda-vyks-darbo-vizito-i-jav.d?id=90643247
